# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
89.86775387561912   4.402360538915776   8.00267222502615   18.081577774986528   -4.549047704133277   61.69538328804089
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
65.59974555114381   2.0576953285700377   -12.030132905727427   10.803159553379684   19.603357035674357   31.695004534889595
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
75.05589909087143   13.525849960290602   40.69800050715518   32.16739626639743   -5.1083757897427144   42.87987038772211
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
89.55748209557325   4.516220802039946   -13.023918054394613   24.05609960674272   -69.88227145926854   66.75109518372396
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
85.82836287889204   11.93417248071402   0.9059409373229897   37.54446303365044   70.65541358889291   42.53811326703356
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
81.5020635366931   4.00018609562466   57.59221584453019   29.247481469358526   15.863452441516523   58.41571757016125
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
57.89327957161906   13.484022323852807   27.165452965675705   37.3006090371544   6.505237287770467   42.59323001752333
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
86.76124882313869   8.902238863558345   10.461366425717742   52.405397135357845   20.027224861423782   52.145760882710064
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
100.58653556671193   12.119920161842371   4.1255887050165345   22.96009834142324   -3.6925681157450696   34.40313994681831
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
86.09813492377745   4.887056548123022   12.684666401123906   33.71343103097365   -20.59455288365176   62.89072676626541
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
90.37719129308098   6.185750020331215   13.393110007658155   26.678792714938954   -1.3319941655523881   44.15404857625337
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
98.51199023967192   6.452774545183046   -37.997396146806246   28.70380409906538   -17.118027595873134   65.73127809621965
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
95.69826885912275   6.6303053880979945   13.284186597038396   36.255196931744024   0.57129318183419   78.16974132561498
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
100.19237326786423   6.051701062110736   38.864929248745   33.438864050623515   2.743444055696366   66.13427602620344
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
101.222066105641   5.671225165311933   -11.482049031151764   21.87611321401876   4.202298563119369   47.59146925179439
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
77.58244971538551   1.4378423780205842   -130.77995549960295   1.733514351974795   -36.560695577117016   30.399222534284867
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
87.05784355102394   8.396925254250059   3.0940454429381328   18.63395098540167   6.917036580425401   57.63251077837733
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
116.06574384828518   3.316788048297672   -57.350549235265326   7.287674925874865   -15.00529754545154   12.057399887956805
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
75.87371108756804   10.41551982500643   -4.532840124514472   38.62792026312196   -14.58768379424643   44.378887080607036
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
73.26522655551767   9.210355344448095   70.02583514135887   20.918647684648715   -48.71890829605525   30.027948928286825
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
133.95779592517326   4.500298688864984   88.565623795079   14.6143619817061   56.268462016272636   13.75688670053701
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
93.55176690870607   3.1819879865093443   17.416620630023793   10.676871446870024   84.41520817784684   56.503459804605825
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
64.36769260514073   13.895393512959247   1.0204578159305187   32.67946031329841   50.31409928024069   54.44127953723863
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
66.91591070364645   5.640945550613126   72.15325547092917   9.648344027999011   nan   nan
# avg angles from file: step7_production.xtc across frames 561 to 600
#mean_pitch   std_pitch   mean_yaw   std_yaw   mean_roll   std_roll
